# RC100 Table 3: Galaxy best-fit parameters and characteristics
# Source: Nestor Shachar et al. (2023), ApJ 944, 78 (arXiv:2209.12199)
# Transcribed from rasterized PDF table (pages 27-29) — verify critical values against original paper
# Columns: num, Galaxy, z, FWHM_arcsec, T_int_hrs, delta_log_SFR, log_Mstar, log_Mbaryon, e_log_Mbaryon, log_Mbulge, e_log_Mbulge, Re_kpc, e_Re_kpc, fDM, e_fDM, Vc_kms, e_Vc_kms, sigma0_kms, e_sigma0_kms, log_Mvir_SMHM, log_SigSFR, log_SigDM, e_log_SigDM
num,Galaxy,z,FWHM_arcsec,T_int_hrs,delta_log_SFR,log_Mstar,log_Mbaryon,e_log_Mbaryon,log_Mbulge,e_log_Mbulge,Re_kpc,e_Re_kpc,fDM,e_fDM,Vc_kms,e_Vc_kms,sigma0_kms,e_sigma0_kms,log_Mvir_SMHM,log_SigSFR,log_SigDM,e_log_SigDM
87,J0901+1814,2.26,0.08,28.0,0.62,10.96,11.09,0.07,10.09,0.28,4.33,0.85,0.06,0.06,209,42,55,3,12.17,-0.01,8.36,0.47
88,zC 405226,2.29,0.30,14.5,0.62,9.96,10.83,0.18,9.83,0.31,7.11,1.32,0.40,0.22,199,40,62,4,11.95,-0.34,8.21,0.79
89,COS4 02672,2.31,0.50,14.0,-0.10,10.57,10.56,0.14,9.56,0.36,2.48,0.86,0.26,0.18,195,39,53,12,11.77,0.81,8.47,1.02
90,U3 06856,2.31,0.48,15.3,0.19,10.48,11.11,0.08,10.59,0.12,6.61,1.23,0.24,0.09,234,47,69,4,12.22,0.03,8.17,0.50
91,D3a 15504,2.38,0.35,47.0,-0.06,11.04,11.47,0.08,11.13,0.11,5.52,1.20,0.10,0.11,359,72,65,5,12.58,0.57,8.23,1.07
92,D3a 6004,2.39,0.40,23.0,-0.05,11.50,10.87,0.06,10.82,0.08,1.75,0.78,0.03,0.10,308,62,74,11,12.09,1.19,8.02,1.09
93,zC 400528,2.39,0.32,6.0,-0.05,11.04,10.73,0.10,10.58,0.12,4.14,1.15,0.39,0.13,253,51,66,9,11.86,0.56,8.66,0.61
94,GS4 37124,2.43,0.43,16.6,0.28,10.59,11.03,0.12,10.59,0.16,5.26,1.37,0.07,0.09,239,48,36,6,12.09,0.07,7.76,0.94
95,COS4 06079,2.44,0.49,9.4,0.01,10.57,10.13,0.11,9.97,0.13,2.02,1.34,0.09,0.11,136,27,40,9,12.09,0.82,7.79,1.23
96,zC 413597,2.45,0.35,5.8,0.56,9.87,10.39,0.09,9.48,0.21,3.67,0.88,0.28,0.13,154,31,50,4,11.68,0.22,8.12,0.72
97,GS4 42930,2.45,0.20,19.65,-0.09,10.33,10.59,0.12,8.59,2.14,4.45,1.49,0.63,0.19,124,25,56,5,11.39,-0.32,8.21,0.74
98,zC 410041,2.45,0.37,15.2,0.51,9.66,9.88,0.19,9.48,0.21,4.22,1.06,0.08,0.12,134,27,73,7,11.76,0.39,7.38,0.81
99,COS4 19753,2.47,0.48,8.2,0.16,10.51,10.59,0.12,10.75,0.11,4.29,1.06,0.16,0.12,181,36,57,7,11.82,-0.26,8.20,0.73
100,U3 25105,2.52,0.57,7.3,0.08,11.05,11.06,0.07,10.75,0.11,5.72,1.45,0.08,0.08,239,48,53,7,12.16,0.36,7.77,0.95
